ensembl_gene_id,m_measure
PGSC0003DMG401024702,0.020521975679939807
PGSC0003DMG400011742,0.008689237954421513
PGSC0003DMG400021805,0.023026386764093312
PGSC0003DMG400011621,0.008502975330129888
PGSC0003DMG400010741,0.01853183599618765
PGSC0003DMG400010706,0.05299057848876137
PGSC0003DMG401024331,0.020184515311965176
PGSC0003DMG400011654,0.019886523136909497
PGSC0003DMG400010704,0.017891509078418133
PGSC0003DMG400010909,0.04107439557844181
PGSC0003DMG400011745,0.009440037563368553
PGSC0003DMG400010612,0.0180385232370434
PGSC0003DMG400011498,0.008354202932825868
PGSC0003DMG400021622,0.0221747380863247
PGSC0003DMG400011384,0.0086409906314092
PGSC0003DMG401026984,0.03137775727339014
PGSC0003DMG400021811,0.010290206374230488
PGSC0003DMG401027271,0.020059590355608375
